date,DE,ES,FR,IT,AT,UK
2015-01,98.8,96.1,99,98.4,99.3,100.1
2015-02,99.3,97.5,99.4,99,99.4,100.7
2015-03,99.4,98.3,99.8,99.3,100.2,101.1
2015-04,100,99.3,99.6,99.6,99.1,100.9
2015-05,100.1,100.1,100.8,100.5,99.5,100
2015-06,100,100.2,100.2,100,100.8,100.2
2015-07,101.4,100.9,98.7,100.1,100.6,99.3
2015-08,98.9,100,99.6,98.4,100.6,99.4
2015-09,99.4,101.8,101.3,100,100.1,100.3
2015-10,100,101.7,100.8,100.4,101.2,99.8
2015-11,99.3,102,99.8,101.1,100.9,99.1
2015-12,100,102.1,101.1,99.1,98.1,99.1
2016-01,101.9,102.7,102.6,102.4,103.2,99.5
2016-02,101.6,102.6,100.7,101.5,101.5,99
2016-03,100.5,102.4,99.8,100.8,101.5,99.2
2016-04,101.2,103.2,100.9,102.8,102.5,101.8
2016-05,99.4,101.3,99.9,100.7,102.3,101
2016-06,101.5,102.3,99.1,99.9,101.1,100
2016-07,100,102,99.6,101.8,100.9,99.5
2016-08,101.8,103.1,101.1,103.2,102.8,99.9
2016-09,101.6,102.4,100.5,102,102.8,100.4
2016-10,101.9,102.2,99.4,102.2,103.6,99.1
2016-11,102,103.5,102.6,103,104,100
2016-12,100.1,103.7,101.1,104.4,103.7,103.1
2017-01,101.7,104.1,100.7,100.8,102.9,102.3
2017-02,102.7,104.3,101.2,103.3,104.3,101.7
2017-03,102.4,105,102.6,104.8,106.1,101.1
2017-04,103.6,104.7,101.8,104.3,106.2,101.5
2017-05,104,105.7,104,105,106.6,101.5
2017-06,103.8,105.3,103.2,105.9,107.8,101.7
2017-07,104.7,106,103.8,106.9,109.4,101.9
2017-08,106.9,106.4,103.7,108.8,110,102.3
2017-09,106.1,107.2,104.3,106.2,109.6,103.4
2017-10,104,107.7,105.8,106.6,109.6,104
2017-11,108.6,108.5,105.7,107.9,111.1,103.7
2017-12,107.8,109.2,106.6,111.2,111.2,104.4
2018-01,107.3,107.3,103.9,108.3,110.6,104.3
2018-02,105.1,107,102.8,106.3,111.4,103.8
2018-03,106.6,107.6,104.1,107.6,110.1,103.3
2018-04,105.9,106.8,104.1,107.1,111.7,102.9
2018-05,107.8,107.5,102.7,107,114.9,103.3
2018-06,107.4,107.4,104.5,107.6,112.4,104
2018-07,105.5,107.7,104.4,106.1,112.5,103.7
2018-08,105.8,107.7,104.9,107.6,112.4,103.5
2018-09,105.8,107.5,103.8,107.3,112,103.2
2018-10,105,108,104.8,107.7,114.1,102.8
2018-11,103.8,106.6,104,105.5,113.9,102.8
2018-12,104.5,106.7,105.3,105.9,114.4,102.3
2019-01,103,108.4,105.8,106.1,114.6,103.5
2019-02,103.2,108.6,105.8,107.5,116.4,104.3
2019-03,104,108.3,104.9,106.4,116.4,105.3
2019-04,101.4,108.5,105,105.4,112.6,100.6
2019-05,102.3,108.5,106.6,106.4,112.5,101.5
2019-06,101.2,108.4,103.9,105.8,112.3,101.5
2019-07,100.7,107.8,104.4,105.1,111.8,101.6
2019-08,101.5,108.1,103.6,105.1,110.5,100.8
2019-09,100.3,107.7,104.5,105.3,112.1,100.3
2019-10,98.8,107.7,105,105,111.2,100.8
2019-11,99.9,107.9,104.4,105.4,108.7,99.3
2019-12,97.9,107.3,102.1,102.9,108.7,99.3
2020-01,100.6,107.5,103.3,106.4,115.1,99.7
2020-02,101.1,107.4,104.3,105.3,111.2,100.2
