date,AT,DE,ES,IT
2020-02 ,4.9,3.4,14.1,10.4
2020-01 ,4.3,3.3,14,10.4
2019-12 ,4.3,3.1,13.6,9.8
2019-11 ,3.8,3.1,13.8,10
2019-10 ,4.4,3,14,10
2019-09 ,4.2,3,14,9.8
2019-08 ,4.6,3.2,14,8.2
2019-07 ,4.5,3.1,13.8,9.4
2019-06 ,4.1,3,13.8,9.2
2019-05 ,4.5,3,14,9.7
2019-04 ,4.8,3.2,14.3,10.4
2019-03 ,4.9,3.5,14.7,10.5
2019-02 ,5.2,3.2,14.8,11.3
2019-01 ,4.8,3.4,14.7,11.3
2018-12 ,4.8,3.1,14.3,10.3
2018-11 ,4.3,3.2,14.5,10.9
2018-10 ,4.8,3.2,14.6,11.2
2018-09 ,4.9,3.3,14.6,10
2018-08 ,4.9,3.4,14.6,8.5
2018-07 ,5,3.3,14.5,9.7
2018-06 ,4.6,3.5,14.7,10.4
2018-05 ,4.2,3.4,15.3,10.3
2018-04 ,5,3.5,15.9,11.3
2018-03 ,5,3.5,16.5,11.6
2018-02 ,5.3,3.8,16.9,11.3
2018-01 ,5.5,3.6,16.8,11.9
2017-12 ,5.3,3.5,16.4,10.8
2017-11 ,5.5,3.4,16.6,11.5
2017-10 ,5,3.7,16.6,11.3
2017-09 ,5.4,3.5,16.5,10.9
2017-08 ,5.4,3.8,16.4,10.2
2017-07 ,5.5,3.6,16.3,10.7
2017-06 ,5,3.6,16.6,10.7
2017-05 ,5.6,3.6,17.2,11.1
2017-04 ,5.6,4.1,17.9,11.1
2017-03 ,5.9,4,18.6,12.1
2017-02 ,6.2,4.3,18.9,11.9
2017-01 ,5.8,4,18.8,12.4
2016-12 ,5.6,3.5,18.4,12
2016-11 ,5.7,3.9,18.8,12.6
2016-10 ,5.6,3.9,18.8,11.9
2016-09 ,6,3.7,18.9,11.7
2016-08 ,6.3,4.1,18.9,10.1
2016-07 ,6.1,4.2,19,10.7
2016-06 ,6.1,4.2,19.4,11.4
2016-05 ,6.3,4.2,20,11.5
2016-04 ,6,4.2,20.6,11.8
2016-03 ,5.9,4.6,20.9,12.1
2016-02 ,6.5,4.7,21.1,12.3
2016-01 ,6.3,4.4,21,12
2015-12 ,5.7,4.5,20.6,11.6
2015-11 ,6.2,4.5,20.9,12.1
2015-10 ,5.2,4.4,21.2,12
2015-09 ,5.8,4.3,21.1,11.2
2015-08 ,5.5,4.3,21.2,9.9
2015-07 ,5.6,4.6,21.3,10.6
2015-06 ,5.6,4.6,21.8,12
2015-05 ,5.8,4.5,22.4,12.3
2015-04 ,6,4.9,23,12.1
2015-03 ,5.9,4.8,23.6,13.1
2015-02 ,5.9,5.3,23.9,13
2015-01 ,5.6,4.9,23.9,12.8
